id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,cpp
2,comment,cpp,2,block,null
3,comment,comment,0,null,block
4,comment,block,1,comment,documentation
5,comment,documentation,2,block,cpp
6,comment,cpp,3,documentation,null
7,comment,comment,0,null,line
8,comment,line,1,comment,banner
9,comment,banner,2,line,cpp
10,comment,cpp,3,banner,null
11,comment,comment,0,null,line
12,comment,line,1,comment,double-slash
13,comment,double-slash,2,line,cpp
14,comment,cpp,3,double-slash,null
15,comment,comment,0,null,line
16,comment,line,1,comment,double-slash
17,comment,double-slash,2,line,documentation
18,comment,documentation,3,double-slash,cpp
19,comment,cpp,4,documentation,null
20,constant,constant,0,null,character
21,constant,character,1,constant,escape
22,constant,escape,2,character,null
23,constant,constant,0,null,character
24,constant,character,1,constant,escape
25,constant,escape,2,character,cpp
26,constant,cpp,3,escape,null
27,constant,constant,0,null,character
28,constant,character,1,constant,escape
29,constant,escape,2,character,line-continuation
30,constant,line-continuation,3,escape,cpp
31,constant,cpp,4,line-continuation,null
32,constant,constant,0,null,language
33,constant,language,1,constant,$0
34,constant,$0,2,language,cpp
35,constant,cpp,3,$0,null
36,constant,constant,0,null,numeric
37,constant,numeric,1,constant,binary
38,constant,binary,2,numeric,cpp
39,constant,cpp,3,binary,null
40,constant,constant,0,null,numeric
41,constant,numeric,1,constant,decimal
42,constant,decimal,2,numeric,cpp
43,constant,cpp,3,decimal,null
44,constant,constant,0,null,numeric
45,constant,numeric,1,constant,decimal
46,constant,decimal,2,numeric,point
47,constant,point,3,decimal,cpp
48,constant,cpp,4,point,null
49,constant,constant,0,null,numeric
50,constant,numeric,1,constant,exponent
51,constant,exponent,2,numeric,decimal
52,constant,decimal,3,exponent,cpp
53,constant,cpp,4,decimal,null
54,constant,constant,0,null,numeric
55,constant,numeric,1,constant,exponent
56,constant,exponent,2,numeric,hexadecimal
57,constant,hexadecimal,3,exponent,cpp
58,constant,cpp,4,hexadecimal,null
59,constant,constant,0,null,numeric
60,constant,numeric,1,constant,hexadecimal
61,constant,hexadecimal,2,numeric,cpp
62,constant,cpp,3,hexadecimal,null
63,constant,constant,0,null,numeric
64,constant,numeric,1,constant,octal
65,constant,octal,2,numeric,cpp
66,constant,cpp,3,octal,null
67,constant,constant,0,null,other
68,constant,other,1,constant,placeholder
69,constant,placeholder,2,other,null
70,entity,entity,0,null,name
71,entity,name,1,entity,function
72,entity,function,2,name,call
73,entity,call,3,function,cpp
74,entity,cpp,4,call,null
75,entity,entity,0,null,name
76,entity,name,1,entity,function
77,entity,function,2,name,call
78,entity,call,3,function,initializer
79,entity,initializer,4,call,cpp
80,entity,cpp,5,initializer,null
81,entity,entity,0,null,name
82,entity,name,1,entity,function
83,entity,function,2,name,constructor
84,entity,constructor,3,function,cpp
85,entity,cpp,4,constructor,null
86,entity,entity,0,null,name
87,entity,name,1,entity,function
88,entity,function,2,name,definition
89,entity,definition,3,function,cpp
90,entity,cpp,4,definition,null
91,entity,entity,0,null,name
92,entity,name,1,entity,function
93,entity,function,2,name,definition
94,entity,definition,3,function,special
95,entity,special,4,definition,constructor
96,entity,constructor,5,special,cpp
97,entity,cpp,6,constructor,null
98,entity,entity,0,null,name
99,entity,name,1,entity,function
100,entity,function,2,name,definition
101,entity,definition,3,function,special
102,entity,special,4,definition,member
103,entity,member,5,special,destructor
104,entity,destructor,6,member,cpp
105,entity,cpp,7,destructor,null
106,entity,entity,0,null,name
107,entity,name,1,entity,function
108,entity,function,2,name,destructor
109,entity,destructor,3,function,cpp
110,entity,cpp,4,destructor,null
111,entity,entity,0,null,name
112,entity,name,1,entity,function
113,entity,function,2,name,member
114,entity,member,3,function,cpp
115,entity,cpp,4,member,null
116,entity,entity,0,null,name
117,entity,name,1,entity,function
118,entity,function,2,name,preprocessor
119,entity,preprocessor,3,function,cpp
120,entity,cpp,4,preprocessor,null
121,entity,entity,0,null,name
122,entity,name,1,entity,label
123,entity,label,2,name,call
124,entity,call,3,label,cpp
125,entity,cpp,4,call,null
126,entity,entity,0,null,name
127,entity,name,1,entity,label
128,entity,label,2,name,cpp
129,entity,cpp,3,label,null
130,entity,entity,0,null,name
131,entity,name,1,entity,namespace
132,entity,namespace,2,name,alias
133,entity,alias,3,namespace,cpp
134,entity,cpp,4,alias,null
135,entity,entity,0,null,name
136,entity,name,1,entity,namespace
137,entity,namespace,2,name,cpp
138,entity,cpp,3,namespace,null
139,entity,entity,0,null,name
140,entity,name,1,entity,operator
141,entity,operator,2,name,cpp
142,entity,cpp,3,operator,null
143,entity,entity,0,null,name
144,entity,name,1,entity,operator
145,entity,operator,2,name,custom-literal
146,entity,custom-literal,3,operator,cpp
147,entity,cpp,4,custom-literal,null
148,entity,entity,0,null,name
149,entity,name,1,entity,operator
150,entity,operator,2,name,type
151,entity,type,3,operator,array
152,entity,array,4,type,cpp
153,entity,cpp,5,array,null
154,entity,entity,0,null,name
155,entity,name,1,entity,operator
156,entity,operator,2,name,type
157,entity,type,3,operator,cpp
158,entity,cpp,4,type,null
159,entity,entity,0,null,name
160,entity,name,1,entity,operator
161,entity,operator,2,name,type
162,entity,type,3,operator,pointer
163,entity,pointer,4,type,cpp
164,entity,cpp,5,pointer,null
165,entity,entity,0,null,name
166,entity,name,1,entity,operator
167,entity,operator,2,name,type
168,entity,type,3,operator,reference
169,entity,reference,4,type,cpp
170,entity,cpp,5,reference,null
171,entity,entity,0,null,name
172,entity,name,1,entity,other
173,entity,other,2,name,preprocessor
174,entity,preprocessor,3,other,macro
175,entity,macro,4,preprocessor,include
176,entity,include,5,macro,cpp
177,entity,cpp,6,include,null
178,entity,entity,0,null,name
179,entity,name,1,entity,other
180,entity,other,2,name,preprocessor
181,entity,preprocessor,3,other,macro
182,entity,macro,4,preprocessor,predefined
183,entity,predefined,5,macro,$1
184,entity,$1,6,predefined,cpp
185,entity,cpp,7,$1,null
186,entity,entity,0,null,name
187,entity,name,1,entity,other
188,entity,other,2,name,preprocessor
189,entity,preprocessor,3,other,macro
190,entity,macro,4,preprocessor,predefined
191,entity,predefined,5,macro,DLLEXPORT
192,entity,DLLEXPORT,6,predefined,cpp
193,entity,cpp,7,DLLEXPORT,null
194,entity,entity,0,null,name
195,entity,name,1,entity,other
196,entity,other,2,name,preprocessor
197,entity,preprocessor,3,other,macro
198,entity,macro,4,preprocessor,predefined
199,entity,predefined,5,macro,probably
200,entity,probably,6,predefined,$0
201,entity,$0,7,probably,cpp
202,entity,cpp,8,$0,null
203,entity,entity,0,null,name
204,entity,name,1,entity,other
205,entity,other,2,name,preprocessor
206,entity,preprocessor,3,other,macro
207,entity,macro,4,preprocessor,predefined
208,entity,predefined,5,macro,probably
209,entity,probably,6,predefined,$1
210,entity,$1,7,probably,cpp
211,entity,cpp,8,$1,null
212,entity,entity,0,null,name
213,entity,name,1,entity,scope-resolution
214,entity,scope-resolution,2,name,constructor
215,entity,constructor,3,scope-resolution,cpp
216,entity,cpp,4,constructor,null
217,entity,entity,0,null,name
218,entity,name,1,entity,scope-resolution
219,entity,scope-resolution,2,name,cpp
220,entity,cpp,3,scope-resolution,null
221,entity,entity,0,null,name
222,entity,name,1,entity,scope-resolution
223,entity,scope-resolution,2,name,destructor
224,entity,destructor,3,scope-resolution,cpp
225,entity,cpp,4,destructor,null
226,entity,entity,0,null,name
227,entity,name,1,entity,scope-resolution
228,entity,scope-resolution,2,name,function
229,entity,function,3,scope-resolution,call
230,entity,call,4,function,cpp
231,entity,cpp,5,call,null
232,entity,entity,0,null,name
233,entity,name,1,entity,scope-resolution
234,entity,scope-resolution,2,name,function
235,entity,function,3,scope-resolution,definition
236,entity,definition,4,function,cpp
237,entity,cpp,5,definition,null
238,entity,entity,0,null,name
239,entity,name,1,entity,scope-resolution
240,entity,scope-resolution,2,name,function
241,entity,function,3,scope-resolution,definition
242,entity,definition,4,function,operator-overload
243,entity,operator-overload,5,definition,cpp
244,entity,cpp,6,operator-overload,null
245,entity,entity,0,null,name
246,entity,name,1,entity,scope-resolution
247,entity,scope-resolution,2,name,namespace
248,entity,namespace,3,scope-resolution,alias
249,entity,alias,4,namespace,cpp
250,entity,cpp,5,alias,null
251,entity,entity,0,null,name
252,entity,name,1,entity,scope-resolution
253,entity,scope-resolution,2,name,namespace
254,entity,namespace,3,scope-resolution,block
255,entity,block,4,namespace,cpp
256,entity,cpp,5,block,null
257,entity,entity,0,null,name
258,entity,name,1,entity,scope-resolution
259,entity,scope-resolution,2,name,namespace
260,entity,namespace,3,scope-resolution,using
261,entity,using,4,namespace,cpp
262,entity,cpp,5,using,null
263,entity,entity,0,null,name
264,entity,name,1,entity,scope-resolution
265,entity,scope-resolution,2,name,operator-overload
266,entity,operator-overload,3,scope-resolution,cpp
267,entity,cpp,4,operator-overload,null
268,entity,entity,0,null,name
269,entity,name,1,entity,scope-resolution
270,entity,scope-resolution,2,name,operator
271,entity,operator,3,scope-resolution,cpp
272,entity,cpp,4,operator,null
273,entity,entity,0,null,name
274,entity,name,1,entity,scope-resolution
275,entity,scope-resolution,2,name,parameter
276,entity,parameter,3,scope-resolution,cpp
277,entity,cpp,4,parameter,null
278,entity,entity,0,null,name
279,entity,name,1,entity,scope-resolution
280,entity,scope-resolution,2,name,template
281,entity,template,3,scope-resolution,call
282,entity,call,4,template,cpp
283,entity,cpp,5,call,null
284,entity,entity,0,null,name
285,entity,name,1,entity,scope-resolution
286,entity,scope-resolution,2,name,template
287,entity,template,3,scope-resolution,definition
288,entity,definition,4,template,cpp
289,entity,cpp,5,definition,null
290,entity,entity,0,null,name
291,entity,name,1,entity,scope-resolution
292,entity,scope-resolution,2,name,type
293,entity,type,3,scope-resolution,cpp
294,entity,cpp,4,type,null
295,entity,entity,0,null,name
296,entity,name,1,entity,tag
297,entity,tag,2,name,pragma-mark
298,entity,pragma-mark,3,tag,cpp
299,entity,cpp,4,pragma-mark,null
300,entity,entity,0,null,name
301,entity,name,1,entity,type
302,entity,type,2,name,alias
303,entity,alias,3,type,cpp
304,entity,cpp,4,alias,null
305,entity,entity,0,null,name
306,entity,name,1,entity,type
307,entity,type,2,name,class
308,entity,class,3,type,cpp
309,entity,cpp,4,class,null
310,entity,entity,0,null,name
311,entity,name,1,entity,type
312,entity,type,2,name,class
313,entity,class,3,type,parameter
314,entity,parameter,4,class,cpp
315,entity,cpp,5,parameter,null
316,entity,entity,0,null,name
317,entity,name,1,entity,type
318,entity,type,2,name,constructor
319,entity,constructor,3,type,cpp
320,entity,cpp,4,constructor,null
321,entity,entity,0,null,name
322,entity,name,1,entity,type
323,entity,type,2,name,cpp
324,entity,cpp,3,type,null
325,entity,entity,0,null,name
326,entity,name,1,entity,type
327,entity,type,2,name,destructor
328,entity,destructor,3,type,cpp
329,entity,cpp,4,destructor,null
330,entity,entity,0,null,name
331,entity,name,1,entity,type
332,entity,type,2,name,enum
333,entity,enum,3,type,cpp
334,entity,cpp,4,enum,null
335,entity,entity,0,null,name
336,entity,name,1,entity,type
337,entity,type,2,name,enum
338,entity,enum,3,type,parameter
339,entity,parameter,4,enum,cpp
340,entity,cpp,5,parameter,null
341,entity,entity,0,null,name
342,entity,name,1,entity,type
343,entity,type,2,name,parameter
344,entity,parameter,3,type,cpp
345,entity,cpp,4,parameter,null
346,entity,entity,0,null,name
347,entity,name,1,entity,type
348,entity,type,2,name,pointer
349,entity,pointer,3,type,function
350,entity,function,4,pointer,cpp
351,entity,cpp,5,function,null
352,entity,entity,0,null,name
353,entity,name,1,entity,type
354,entity,type,2,name,struct
355,entity,struct,3,type,cpp
356,entity,cpp,4,struct,null
357,entity,entity,0,null,name
358,entity,name,1,entity,type
359,entity,type,2,name,struct
360,entity,struct,3,type,parameter
361,entity,parameter,4,struct,cpp
362,entity,cpp,5,parameter,null
363,entity,entity,0,null,name
364,entity,name,1,entity,type
365,entity,type,2,name,template
366,entity,template,3,type,cpp
367,entity,cpp,4,template,null
368,entity,entity,0,null,name
369,entity,name,1,entity,type
370,entity,type,2,name,union
371,entity,union,3,type,cpp
372,entity,cpp,4,union,null
373,entity,entity,0,null,name
374,entity,name,1,entity,type
375,entity,type,2,name,union
376,entity,union,3,type,parameter
377,entity,parameter,4,union,cpp
378,entity,cpp,5,parameter,null
379,entity,entity,0,null,other
380,entity,other,1,entity,attribute-name
381,entity,attribute-name,2,other,pragma
382,entity,pragma,3,attribute-name,preprocessor
383,entity,preprocessor,4,pragma,cpp
384,entity,cpp,5,preprocessor,null
385,entity,entity,0,null,other
386,entity,other,1,entity,attribute
387,entity,attribute,2,other,$0
388,entity,$0,3,attribute,cpp
389,entity,cpp,4,$0,null
390,invalid,invalid,0,null,illegal
391,invalid,illegal,1,invalid,constant
392,invalid,constant,2,illegal,numeric
393,invalid,numeric,3,constant,cpp
394,invalid,cpp,4,numeric,null
395,invalid,invalid,0,null,illegal
396,invalid,illegal,1,invalid,delimiter-too-long
397,invalid,delimiter-too-long,2,illegal,null
398,invalid,invalid,0,null,illegal
399,invalid,illegal,1,invalid,reference-type
400,invalid,reference-type,2,illegal,cpp
401,invalid,cpp,3,reference-type,null
402,invalid,invalid,0,null,illegal
403,invalid,illegal,1,invalid,unexpected
404,invalid,unexpected,2,illegal,punctuation
405,invalid,punctuation,3,unexpected,definition
406,invalid,definition,4,punctuation,comment
407,invalid,comment,5,definition,end
408,invalid,end,6,comment,cpp
409,invalid,cpp,7,end,null
410,invalid,invalid,0,null,illegal
411,invalid,illegal,1,invalid,unknown-escape
412,invalid,unknown-escape,2,illegal,null
413,invalid,invalid,0,null,illegal
414,invalid,illegal,1,invalid,unknown-escape
415,invalid,unknown-escape,2,illegal,cpp
416,invalid,cpp,3,unknown-escape,null
417,keyword,keyword,0,null,control
418,keyword,control,1,keyword,$3
419,keyword,$3,2,control,cpp
420,keyword,cpp,3,$3,null
421,keyword,keyword,0,null,control
422,keyword,control,1,keyword,case
423,keyword,case,2,control,cpp
424,keyword,cpp,3,case,null
425,keyword,keyword,0,null,control
426,keyword,control,1,keyword,default
427,keyword,default,2,control,cpp
428,keyword,cpp,3,default,null
429,keyword,keyword,0,null,control
430,keyword,control,1,keyword,directive
431,keyword,directive,2,control,$4
432,keyword,$4,3,directive,cpp
433,keyword,cpp,4,$4,null
434,keyword,keyword,0,null,control
435,keyword,control,1,keyword,directive
436,keyword,directive,2,control,$5
437,keyword,$5,3,directive,cpp
438,keyword,cpp,4,$5,null
439,keyword,keyword,0,null,control
440,keyword,control,1,keyword,directive
441,keyword,directive,2,control,conditional
442,keyword,conditional,3,directive,$6
443,keyword,$6,4,conditional,cpp
444,keyword,cpp,5,$6,null
445,keyword,keyword,0,null,control
446,keyword,control,1,keyword,directive
447,keyword,directive,2,control,conditional
448,keyword,conditional,3,directive,defined
449,keyword,defined,4,conditional,cpp
450,keyword,cpp,5,defined,null
451,keyword,keyword,0,null,control
452,keyword,control,1,keyword,directive
453,keyword,directive,2,control,define
454,keyword,define,3,directive,cpp
455,keyword,cpp,4,define,null
456,keyword,keyword,0,null,control
457,keyword,control,1,keyword,directive
458,keyword,directive,2,control,diagnostic
459,keyword,diagnostic,3,directive,$7
460,keyword,$7,4,diagnostic,cpp
461,keyword,cpp,5,$7,null
462,keyword,keyword,0,null,control
463,keyword,control,1,keyword,directive
464,keyword,directive,2,control,import
465,keyword,import,3,directive,cpp
466,keyword,cpp,4,import,null
467,keyword,keyword,0,null,control
468,keyword,control,1,keyword,directive
469,keyword,directive,2,control,line
470,keyword,line,3,directive,cpp
471,keyword,cpp,4,line,null
472,keyword,keyword,0,null,control
473,keyword,control,1,keyword,directive
474,keyword,directive,2,control,pragma
475,keyword,pragma,3,directive,cpp
476,keyword,cpp,4,pragma,null
477,keyword,keyword,0,null,control
478,keyword,control,1,keyword,directive
479,keyword,directive,2,control,pragma
480,keyword,pragma,3,directive,pragma-mark
481,keyword,pragma-mark,4,pragma,cpp
482,keyword,cpp,5,pragma-mark,null
483,keyword,keyword,0,null,control
484,keyword,control,1,keyword,directive
485,keyword,directive,2,control,undef
486,keyword,undef,3,directive,cpp
487,keyword,cpp,4,undef,null
488,keyword,keyword,0,null,control
489,keyword,control,1,keyword,exception
490,keyword,exception,2,control,$3
491,keyword,$3,3,exception,cpp
492,keyword,cpp,4,$3,null
493,keyword,keyword,0,null,control
